paraphrase,id1,id2,sentence1,sentence2,text,is_paraphrase
1,315785,315653,"But MTA officials appropriated the money to the 2003 and 2004 budgets without notifying riders or even the MTA board members considering the 50-cent hike, Hevesi found.","MTA officials appropriated the surplus money to later years' budgets without notifying riders or the MTA board members when the 50-cent hike was being considered, he said.","But MTA officials appropriated the money to the 2003 and 2004 budgets without notifying riders or even the MTA board members considering the 50-cent hike, Hevesi found. MTA officials appropriated the surplus money to later years' budgets without notifying riders or the MTA board members when the 50-cent hike was being considered, he said.",true
0,2015392,2015412,"We caught this ... and haven't sent it into the blood supply,"" said Dr. Dale Towns, CBS Calgary medical director.","We're delighted the testing has worked -- we caught this ... and haven't sent it into the blood supply, said Dr. Dale Towns, Calgary medical director of CBS.","We caught this ... and haven't sent it into the blood supply,"" said Dr. Dale Towns, CBS Calgary medical director. We're delighted the testing has worked -- we caught this ... and haven't sent it into the blood supply, said Dr. Dale Towns, Calgary medical director of CBS.",false
1,1643570,1643198,"Dr Blix said: ""I don't know exactly how they calculated this figure.","Mr Blix said: ""I don't know exactly how they calculated this figure of 45 minutes in the dossier.","Dr Blix said: ""I don't know exactly how they calculated this figure. Mr Blix said: ""I don't know exactly how they calculated this figure of 45 minutes in the dossier.",true
1,995311,995560,"The free world and those who love freedom and peace must deal harshly with Hamas and the killers, he told reporters as he emerged from a church service.","It is clear that the free world, those who love freedom and peace, must deal harshly with Hamas and the killers, he said.","The free world and those who love freedom and peace must deal harshly with Hamas and the killers, he told reporters as he emerged from a church service. It is clear that the free world, those who love freedom and peace, must deal harshly with Hamas and the killers, he said.",true
0,447728,447699,"Indonesia's army has often been accused of human rights abuses during GAM's battle for independence, charges it has generally denied while accusing the separatists of committing rights violations.","Indonesia's army has been accused of human rights abuses during its earlier battles with GAM, charges it has generally denied.","Indonesia's army has often been accused of human rights abuses during GAM's battle for independence, charges it has generally denied while accusing the separatists of committing rights violations. Indonesia's army has been accused of human rights abuses during its earlier battles with GAM, charges it has generally denied.",false
0,2383572,2383564,"The Standard & Poor's 500 index advanced 5.37, or 0.5 percent, to 1,020.18.","The Standard & Poor's paper products index .GSPPAPR was one of the leading sectors, up 2 percent.","The Standard & Poor's 500 index advanced 5.37, or 0.5 percent, to 1,020.18. The Standard & Poor's paper products index .GSPPAPR was one of the leading sectors, up 2 percent.",false
1,3294368,3294400,Among the proposals is one for Zimbabwe to have the opportunity to rejoin the 54-member body before the next CHOGM meeting in two years.,Among the proposals being considered is for Zimbabwe to have the opportunity to rejoin the 54-member body before the next Commonwealth Heads of Government meeting in two years.,Among the proposals is one for Zimbabwe to have the opportunity to rejoin the 54-member body before the next CHOGM meeting in two years. Among the proposals being considered is for Zimbabwe to have the opportunity to rejoin the 54-member body before the next Commonwealth Heads of Government meeting in two years.,true
0,953776,953760,"The broader Standard & Poor's 500 Index ended up 1.03 points, or 0.10 percent, at 998.51, ending at its highest since late June 2002.","The broader Standard & Poor's 500 Index .SPX was off 1.67 points, or 0.17 percent, at 995.81.","The broader Standard & Poor's 500 Index ended up 1.03 points, or 0.10 percent, at 998.51, ending at its highest since late June 2002. The broader Standard & Poor's 500 Index .SPX was off 1.67 points, or 0.17 percent, at 995.81.",false
1,2615832,2615889,Microsoft has proposed a work-around that consumers and enterprises should implement until a new patch is released.,"In lieu of a direct patch, Microsoft has proposed a workaround that consumers can implement until a new patch is released.","Microsoft has proposed a work-around that consumers and enterprises should implement until a new patch is released. In lieu of a direct patch, Microsoft has proposed a workaround that consumers can implement until a new patch is released.",true
1,2760326,2760346,"Third-quarter revenue declined to $36.9 billion from $39.3 billion, primarily reflecting lower vehicle sales.","Revenue fell to $36.9bn from $39.3bn a year ago, mainly due to lower vehicle sales.","Third-quarter revenue declined to $36.9 billion from $39.3 billion, primarily reflecting lower vehicle sales. Revenue fell to $36.9bn from $39.3bn a year ago, mainly due to lower vehicle sales.",true
