paraphrase,id1,id2,sentence1,sentence2,text,is_paraphrase
1,3207268,3207178,They said: “We believe that the time has come for legislation to make public places smoke-free.,"The time has come to make public places smoke-free, they wrote in a letter to the Times newspaper.","They said: “We believe that the time has come for legislation to make public places smoke-free. The time has come to make public places smoke-free, they wrote in a letter to the Times newspaper.",True
0,1992231,1991706,The moment of reckoning has arrived for this West African country founded by freed American slaves in the 19th century.,Taylor is now expected to leave the broken shell of a nation founded by freed American slaves in the 19th century.,The moment of reckoning has arrived for this West African country founded by freed American slaves in the 19th century. Taylor is now expected to leave the broken shell of a nation founded by freed American slaves in the 19th century.,False
0,3092148,3092128,"Overall control will be wielded by a national security council, headed by Mr Arafat.",The other six security agencies will report to a National Security Council headed by Arafat.,"Overall control will be wielded by a national security council, headed by Mr Arafat. The other six security agencies will report to a National Security Council headed by Arafat.",False
1,54528,54500,"Kinsley, for example, wrote in the Post Monday: ""Sinners have long cherished the fantasy that William Bennett, the virtue magnate, might be among our number.","Sinners have long cherished the fantasy that William Bennett, the virtue magnate, might be among our number, Michael Kinsely wrote.","Kinsley, for example, wrote in the Post Monday: ""Sinners have long cherished the fantasy that William Bennett, the virtue magnate, might be among our number. Sinners have long cherished the fantasy that William Bennett, the virtue magnate, might be among our number, Michael Kinsely wrote.",True
1,2486735,2486728,More than 100 officers launched the raids in the final phase of a two-year operation investigating a cocaine import and money laundering ring.,More than 100 police officers were involved in the busts that were the culmination of a two-year operation investigating the cocaine importing and money laundering gang.,More than 100 officers launched the raids in the final phase of a two-year operation investigating a cocaine import and money laundering ring. More than 100 police officers were involved in the busts that were the culmination of a two-year operation investigating the cocaine importing and money laundering gang.,True
1,3264615,3264641,"Prosecutors said there is no question Waagner was behind the letters, which were sent at the same time of the anthrax attacks.","Prosecutors said there is no question Waagner was behind the letters, which were sent at the same time that real anthrax attacks were killing people in 2001.","Prosecutors said there is no question Waagner was behind the letters, which were sent at the same time of the anthrax attacks. Prosecutors said there is no question Waagner was behind the letters, which were sent at the same time that real anthrax attacks were killing people in 2001.",True
0,557353,557232,The lawmakers were departing Wednesday and expected to arrive in Pyongyang on Friday.,The lawmakers expected to arrive in Pyongyang on Friday and leave Sunday for South Korea.,The lawmakers were departing Wednesday and expected to arrive in Pyongyang on Friday. The lawmakers expected to arrive in Pyongyang on Friday and leave Sunday for South Korea.,False
0,669959,670149,"This proposed investment starts the process of raising the funding we need to increase our capacity, Elpida President Yukio Sakamoto said in a news release.","The proposed investment starts the process of raising the funding we need to increase our capacity to better support our customer requirements, said Yukio Sakamoto, Elpida's president.","This proposed investment starts the process of raising the funding we need to increase our capacity, Elpida President Yukio Sakamoto said in a news release. The proposed investment starts the process of raising the funding we need to increase our capacity to better support our customer requirements, said Yukio Sakamoto, Elpida's president.",False
1,3217914,3217410,"Senate passage of the Medicare bill was almost certain, possibly as early as today.",Senate passage of the Medicare bill is almost certain Monday.,"Senate passage of the Medicare bill was almost certain, possibly as early as today. Senate passage of the Medicare bill is almost certain Monday.",True
1,813444,813256,"His election was hailed in some quarters as a breakthrough for gay rights, but condemned in others as a violation of God's word.","Robinson's election was hailed in some quarters as a major breakthrough for gay rights, but condemned by others as a ""rebellion against God's created order.""","His election was hailed in some quarters as a breakthrough for gay rights, but condemned in others as a violation of God's word. Robinson's election was hailed in some quarters as a major breakthrough for gay rights, but condemned by others as a ""rebellion against God's created order.""",True
